rmax
136.8
280.6
280.6
280.6
280.6
478.2
1026
1105
1105
1759
1759
2566
8162
10510
16324
17590
33862.7
33862.7
33862.7
33862.7
33862.7
33862.7
93014.6
93014.6
93014
93014.6
122300
143500
148600
148600
415530
442010
